tweets,type,class
و انت ايش دخلك بنا ,negative,dialectal
يخليلي الغاليين على قلبي انا ,positive,dialectal
شكون يقدر يستغنى على محبتكم للي ماليهاش ثمن كبودتي الغالية ,positive,dialectal
هاد الضحكة للي كنت سباب انها تطلع من القلب و الله ما عندها ثمن و ان شاء الله مأجور عليها من عند,positive,dialectal
مانواعدك بوالو ولكن يكون خير حنونة ,positive,dialectal
لاباس على قلبك حبيبة ديالي للي بغيتو يتخلع كاع ما تيتخلع جن زرق بسم اللة الرحمن الرحيم ,positive,dialectal
من ورا بعض البهايم حاشاك,negative,dialectal
الى غير فادك نت باركة علينا,positive,dialectal
خويا لعزيز نت على راسي و عيني,positive,dialectal
كاع للي عندو شي ختو ولا مو ولا بنتو ماقدرش يحكمها ويكون لها رجل بمعنى الكلمة وبلا كرامة ولا نخوة تتلقاه معقد من المغربيات ويكب نذالته ويسيى للمغرببة في مواقع التواصل امام للي يسوى و للي مت يسواش عزبزي المغربي بدل ما تطعن شرف بنات,negative,dialectal
انا متحمسة نعرف,positive,dialectal
رائع عزولة ,positive,dialectal
 عجبني الرد حياك الله,positive,dialectal
لمغاربة مايقد عليهم غير للي خلقهم حتى لمريخ الى وصلنا له نعرفه نتكلمو لغته,positive,dialectal
فيها يكمن الجمال يخليلي الجمال انا ,positive,dialectal
قلبك للي غزال حبيبة ربي ينورك يا غالية ,positive,dialectal
امين يارب العالمين غاليتي يحفظ لك لعزاز على قلبك يا رب ,positive,dialectal
قلتها لعبدو قاليا مرحبا بيها و بطريق للي تجيبها ,positive,dialectal
ترحب بيك الجنة خويا نت اهل الجود و الكرم ,positive,dialectal
روحك مافي احلى معها و هذا الجمال الحقيقي غاليتي,positive,dialectal
مبرع مع راسك,positive,dialectal
شكون بحالك اخويا سعداتك,positive,dialectal
البوكوص,positive,dialectal
بخير و بركة حبوبة ,positive,dialectal
الله يبارك ليا في عمرك خويا لعزيز,positive,dialectal
فيها خير,positive,dialectal
مساكين ومثيرون للشفقة لا يملكون شيئا اكثر من رفع خرقتهم البالية,negative,dialectal
فارسي المبجل يخليلي انا المتيم قلبي به ,positive,dialectal
باركة من تبركيك اياسين ,positive,dialectal
روح خد لك دروس تارخية من عند محليلينكم السياسيبن قبل التفوه بحماقات تثير الاشمئزاز,negative,dialectal
سنك سنك و لله الحمد ,positive,dialectal
ان شاء الله في حياتك خويا و تنتمنى ليك نفس الشي و اكثر,positive,dialectal
الى ما سحرت ليه نت ماكاينش للي يسحر ليه,negative,dialectal
الله يبار ليا في عمرك يا غالية ,positive,dialectal
نعم حبيبة تصالحنا و احنا في اطار الرجعة ان شاء الله العقبة ليك غاليتي ,positive,dialectal
يبارك لي في قلبك يا غالية العقبة ليك ان شاء الله ,positive,dialectal
يسعدك و يهنئ قلبك حبيبة,positive,dialectal
انتي الاجمل و انتي الاحلى يا اعز الناس ربي يطول عمرك بالسعادة و الصحة و السلامة حتى تفرحي بالكبيدات الغاليات ,positive,dialectal
الله يبار ليا فيك و يفرح قبلك حبيبة,positive,dialectal
يبار ليا في عمرك يا رب,positive,dialectal
امين عقبلة لعندك غاليتي,positive,dialectal
امين و لكم ايضا شكرا حبيبة,positive,dialectal
الله يبارك فيك حبيبة,positive,dialectal
تمام غاليتي ,positive,dialectal
لنا في امهاتنا المؤمنات قدوة و مثال و ليس خيال,positive,dialectal
عارفة للي كاين خويا بغيت نضحك شوية مشكل تويتر ماكينش مجال لتصحيح الاخطاء الإملائية,positive,dialectal
اقل واجب اننا نتمناو الخير لبعضنا اخي الفاضل ان شاء الله مسيرة موفقة على جميع الاصعدة ,positive,dialectal
تنضحك معك الباربا غتزيد لك للي بقا ,positive,dialectal
الله يطول في عمري الى واخلص عليهم كلهم واحد واحد ,positive,dialectal
خليني ساكتة حسن مزمرات ماش معصومات,negative,dialectal
ربي يعزك و ينورك و ينصرك خويا لعزيز,positive,dialectal
ختك انا احبيبة ,positive,dialectal
القادم اجمل بإذن الله الله يجيب غير الصحة و السلامة,positive,dialectal
الله ياخد فيهم الحق ,negative,dialectal
يخليلي انا فرتوتي الغالية ,positive,dialectal
ماتخافيش حبوبة نحن النساء رحيمات ب بعضنا ,positive,dialectal
زيادة من الراس لحمق,negative,dialectal
حصل خير اعتذر من بنت بلادك و خل عقلك كبير بنت بلادك هي اختك و امك و بنتك و حبيبتك ,positive,dialectal
وا تا سير حشم على رجولتك,negative,dialectal
عن اي قمة اقتصادية يتحدثون الله يلعن للي ما يحشم,negative,dialectal
يخليلي انا الغالية ,positive,dialectal
العرب اخوة دا حلمنا طول عمرنا ,positive,dialectal
يشرفني طبعا لكن اني مغربية بس لنا صلة رحم معهم,positive,dialectal
 سلامتك احبيبة الله يبعد عليك كل شر يليق بعينك ان تلمع من جديد ,positive,dialectal
دائما المغرب تيقصف ولاد فرنسا ,negative,dialectal
عنده غير الوقاحة و كلام موسخ بحال وج,negative,dialectal
الله يكون معه,positive,dialectal
طيب على العين و الراس غاليتي,positive,dialectal
يزين ايامك غاليتي ,positive,dialectal
في الميراث ماخوها ما خته كلها خو راسه ,negative,dialectal
يخليلي انا الغاليبن على قلبي ,positive,dialectal
وقع لي نفس الشي مع ناس عزاز على قلبي ولكن لم أستسلم,positive,dialectal
مغربي ولد بلادي و السوري من عائلتي,positive,dialectal
نعم صحيح طيبة مثل هؤلاء الشرفاء هي المعنى الحقيقي لمبادي معاقل الاسلام الذي تحدث عنها السافل المنحط,positive,dialectal
المشكلة حطيت تغريدة منقولة ليس فيها اساءة له و لا لاهله و لا لبلده و ليس عنده سبب أو مبرر لهجومه عليا و دخل يغلط لله في لله حتى مافهمت علاش,negative,dialectal
الله يكتب علينا مكاتب الخير,positive,dialectal
غير غير بشوية عليك لا زربة على صلاح ,positive,dialectal
كلها ي ديال المغرب الحبيب ,positive,dialectal
تلقاي الخير غاليتي,positive,dialectal
بإذن الله حبيبة باقي الاماتة ديال العمرة تتسناك ,positive,dialectal
نخاف ما نحشم ,positive,dialectal
الله يبلغها كل متمنياتها و يحقق احلامها يا رب,positive,dialectal
شهيتيني في النقيش و الحنة أختي,positive,dialectal
أهو دي الرومانسية و لا بلاش ,positive,dialectal
اودي راه غير تنعديو اما الحالة صعيبة للأسف,negative,dialectal
مالكوم اليوم كلشي طالع ليه الدم ,negative,dialectal
كلها و البلية ديالو احبيبة غير الله يعفو علينا ,positive,dialectal
ما تيقتلني غير واحد جالس يتفرج في ماتش ديال الكرة كرشو سبقاه باسبوع و ينعت لاعب بحمار لانه ضيع هدف حيد ديك لكرش عندك و سير ماركي بلاصتو ,negative,dialectal
بجوج مكلخين ,negative,dialectal
فادي خويا لعزيز يجمع الله مع احبابك و الغاليين على قلبك يا رب ,positive,dialectal
حبيبة قلبي نتي تستاهلي الجنة و نعيمها غاليتي,positive,dialectal
امونة عروستنا تستاهلي السعادة و الهنا حبوبة ,positive,dialectal
للي ما يحب المغربية يبعث له حمى ,negative,dialectal
هذا من اصلك الطيب و معدنك الصافي اخي الكريم,positive,dialectal
يتمم ليك الخير و لهنا خويا فادي ,positive,dialectal
يخليلي انا حنونتي ,positive,dialectal
غمورتونا بطيبكم و ذوقكم الرفيع انتم منبع الكرم و المعدن الصافي حماكم الله و نصركم على من عاداكم و ايدكم بنصره و عزته ,positive,dialectal
تربايتك نوني كل كلماتك من بيض النوايا من يلوم الارض لا حبت ظلالك ,positive,dialectal
ربي يحفظك ياسين اخ عزيز و غالي ,positive,dialectal
انا و الله حتى ضريفة خويا ياسين ,positive,dialectal
مودتي و محبتي لكي ,positive,dialectal
امين حبيبة الله يرحم اموات المسلمين اجمعين,positive,dialectal
متنمياتي لك بالسعادة خويا عاطف,positive,dialectal
هو على العين و الراس و مكانه عالي و محفوظ بين اخوتي الاعزاء لتصحيح نظرك ,positive,dialectal
 الله يغبر ليه الشقف ,negative,dialectal
 اودي نعل الشيطان ,positive,dialectal
 خل املك في الله كبير ,positive,dialectal
لكي مودتي غاليتي ,positive,dialectal
اللهم صل و سلم و بارك على الحبيب المصطفى,positive,dialectal
يا ربي يجيب للي يفهمنا ما يعطونا والو هضرنا ردوني داعشية,negative,dialectal
انا من النوع للي ماتنبغي حتى حاجة تنقص من بلادي او تهينها عتبرني معاقة عقليا و لكن هذه حقيقتي بلادي زوينة و فيها من الخير الكثير,positive,dialectal
يعطيك الصحة حبيبة ,positive,dialectal
صافي خلات على مراكش غدا نسمعو كوارث طبيعية,negative,dialectal
عندو قلب و قلبه زوين,positive,dialectal
ا الله اودي الى مارقت لبا صطوف لمن تروق ,positive,dialectal
مالي تنسعى في سيدي بولقنادل و الله تسمعك أمينة حتى تشوفك النجوم في عز الظهر أسكع ,negative,dialectal
 طاح الضيم على ناس تويتر كلهم الا المقصود داير فيها ماحاضرش ,negative,dialectal
قبل كل شيى انتي فخر للمغرب و بعد كل شيئ تستحقين سعادة العالم ,positive,dialectal
ان شاء الله تولد بحاله ,positive,dialectal
الله يفكرنا في الشهادة ,positive,dialectal
مساءك راقي ك رقي مرويك,positive,dialectal
علاش تتعاير,negative,dialectal
آلله ينصره على اعداؤه فينما كانو,positive,dialectal
سوف افعل غاليتي صافي حطيت عقلي في راسي و ان شاء الله خير ,positive,dialectal
صدقي درهم و نويه لله يحسب عليك كل بأس,positive,dialectal
يخليلي لحشمان انا ,positive,dialectal
يسلمك ليا و يخليك ليا ابابا لعزبز ,positive,dialectal
ربي يخليك يا مكنون الدفئ و الحنان ,positive,dialectal
الله يضويها عليك و عليها,positive,dialectal
الله يديم عزك حنونة ,positive,dialectal
 زوينة عندك كلمة ولو دخيل اهل الشام انا ,positive,dialectal
الله يخليك,positive,dialectal
امين بركتي ليلتي الغالية ,positive,dialectal
امين العقبة ليك يا رب,positive,dialectal
ترفع اخويا و ماتخليش الاعداء ياخدو علينا ممسك راك فاهم ,positive,dialectal
وصل خويا لعزبز تحياتي لك يا طيب ,positive,dialectal
 تنعرفك اطيب خلق الله مادرتيهاش بلعاني اوا لغي الحضر عنها عافا خويا زوين ,positive,dialectal
عندي يقين بذلك و الحمد لله شكرا احبيبة على كلامك الطيب ,positive,dialectal
من غير ما تشرحي ليا احبيبة انا عارفة بانك لم تسيئ لهدا الانسان و اعرف انكي لا تعرفينه هو سوء ظن وسوء فهم حصل و لا رد لقضاء الله و الصراحة ليا نصيب في ما حصل و انا اعتدر للجميع,positive,dialectal
امين و اياك يا الفرتوتة ديالي,positive,dialectal
بعد الله سبحانه حيا الله اصلك و معدنك خويا ماعنديش شك في شهامتك ربي يحفظك,positive,dialectal
يخليلي انا لخواتات لحبابات الغاليين ,positive,dialectal
ربي يخليك حبية حتى الله يسعدك و يهنئ قلبك,positive,dialectal
اتمنى لك التوفيق في مسيرة حياتك يا غالية مازال ما دخلت نشوفها ربي يسهل عليك كل ما صعب,positive,dialectal
اتنمى لكي حياة اسعد حبوبة شكرا لمتمنياتك الطيبة ك طيبة روحك النقية اسعدتيني و نورتيني غاليتي,positive,dialectal
رضينا بالله و بالقدر بغيت نعرف فين تتغبري اختي يومك جميل ان شاء الله و حظك اجمل باذن الله غاليتي,positive,dialectal
الله يلعن بوها شهية ,negative,dialectal
 ما قصرتيش يعطيك الصحة ,positive,dialectal
يزين ايامك حبوبتي,positive,dialectal
ختي امينة انا غير تنمزح مع الأخ مراد اسفة و اعتدر اذا زعجك تعليقي الله يسعدكم,positive,dialectal
عرفت غير كنضحك حيث كتشبه ليها,positive,dialectal
 خليكم فصباغتكم الله يرحم الوالدين باش نعرفوكم راه كلشي تبدل,positive,dialectal
عندي معاك ذكريات الحماق صافي,positive,dialectal
أختي واخا وجهي قاصح كنحشم,positive,dialectal
يخليك ليلي الله يكبر بك ,positive,dialectal
على سلامتك انشاء الله تكوني بخير ,positive,dialectal
فواحد الوقت حيث لا ينفع الندم,negative,dialectal
بكاني هاد الليلة نقطة ضعفي رجال كبار يبكيو يلعن بو الفلوس ويلعن بو الخارج اللي غيخليك تنسا والديك غاتندم أقسم بالله غتندم ضرني فقلبي ,negative,dialectal
الاعتذار يزيدو فراسو لهلا يسعدو,negative,dialectal
حيث المعقول هو المعقول الصبر ,positive,dialectal
والله حتى زوين مرة مرة نتجمعو ونضربو الدنيا بركلة,positive,dialectal
يسلم عليك الخير والربح,positive,dialectal
 عوجيين ولكن زوينين,positive,dialectal
مادام دارو معاك هادشي إلا وحتى نتوما الله يعمرها دار,positive,dialectal
مزال الخير ,positive,dialectal
حشومة نسبق الأحداث بالتوفيق لحسنية اكادير,positive,dialectal
مبروك وألف مبروك يتربى فعزك,positive,dialectal
 الله يخليكم لبعض,positive,dialectal
هادي زوينة ,positive,dialectal
فيما مشيتو مرونينها,negative,dialectal
الينايريون الرائعون ,positive,dialectal
حتى نتا عيد ميلاد سعيد واخا جات معطلة,positive,dialectal
على أساس أنا عندي راه غير سنطيحة وصاف,positive,dialectal
حسبنا الله ونعم الوكيل مع من عايشين,negative,dialectal
الله يشافيها ويعافيها يارب,positive,dialectal
عيد ميلاد سعيد كل عام وأنت بألف خير الله يشافيك ويعافيك يارب توحشناك,positive,dialectal
آمين والله يرحم الوالد ويجعل مثواه الجنة ,positive,dialectal
هما اللي خاسرين فجميع النواحي ,negative,dialectal
شكرا خويا على دعواتك الله يحفظك ويخلي ليك ماعز عليك,positive,dialectal
الله يرحم والدك ويرزقه فسيح جناته,positive,dialectal
منو عداد مابغاوش يتفهمو ليا,negative,dialectal
على سلامتك عزيزتي إنشاء الله اكونوا أمورك بخير وعلى خير ,positive,dialectal
معمرهم غايفهموا هادشي مادام كاينة فئة كتعتبر راسها حسن من الكل,negative,dialectal
الله يبارك فيك احساس زوين بزااف ,positive,dialectal
الله يجيبو على خير ,positive,dialectal
الله يسمح ليك ,positive,dialectal
صباح الورد سي براهيم,positive,dialectal
و درهم و لكن على العموم و الله ايلا مزيان,positive,dialectal
أختي توحشتك وتوحشت ايام زمان,positive,dialectal
عجبوني صراحة مبدع واصل,positive,dialectal
الحافيظي كيعطي الذهب,positive,dialectal
باقي مبغى يحشم,negative,dialectal
كملوا يعطيكم الصحة,positive,dialectal
اوا راه ضروري خاصك تزعم باش تقاد شوية الفرقة,positive,dialectal
سير عالله خليها كما هي,positive,dialectal
احلى كوبل في تاريخ الدراما التركية ,positive,dialectal
برافو تصدرنا ب اكثر من الف تغريدة جيش سهلاوي القوي يعطيكم الصحة ,positive,dialectal
مبروك علينا و هذي البداية و مزال مازال ,positive,dialectal
غادي نخلي ليك رقم الهاتف لمزيد من المعلومات فالخاص و شكرا على التجاوب ديالك,positive,dialectal
هذا هو التقرير اللي يخلي المغرب يسحب السفير من السعودية كانشوفها غير سبة وصافي اما التقرير مافيه والوا,negative,dialectal
الله يبدل المحبة بالصبر و إنا لله و إنا إليه راجعون,positive,dialectal
قلبي وجعني اين مثل هاذي الرجال اين ياناس انفخت قلبي على الصباح,negative,dialectal
الدراري المسامحة ,positive,dialectal
في غادي نفرحوا بيها ان شاء الله,positive,dialectal
كاين ناس بهذ العقلية عايشين معانا اول مرة نشوفهم تصدمت,negative,dialectal
الله يحفظهالك ويخليكم لبعض,positive,dialectal
 المغاربة عزيز عليهم التبرگيگ اما الأمراض و الفيروسات ف أهل الاختصاص هوما العشابة و فتيحة الشوافة ,negative,dialectal
اسكت لا نورولك ارشيفك القذر انت عار علئ الاعلام ما فهمتش واش هي مهنتك بالضبط اعلامي,negative,dialectal
الحمد لله على كل حال يا اختي الدرة اخرتها موت,positive,dialectal
اغنية واعرة,positive,dialectal
العلاقة المريحة يوم تتكلم بعفوية مع الشخص بدون أخذ الاحتياطات بأن هالشيء عادي أقوله أو لا,positive,dialectal
كاين زياش فيه لبراكة ,positive,dialectal
بدأنا فصل جديد وبدات آمالنا واحلامنا فياربي حقق ما تراه خيرا لنا في ديننا ودنيانا وأخرتنا,positive,dialectal
 الله يرحمك كنت طيب وابن حلال يوم عيد الحب انزل نعي في جريده عكاظ عشان حييباتك يعرفو,positive,dialectal
ياه زوين و مافيهش المواج ,positive,dialectal
اودي ماتخليو حد يجمع الحسنات,positive,dialectal
الله يستر ,positive,dialectal
يموت عدوك و لي مايبغيك,positive,dialectal
الصحراء في مغربها و المغرب في صحرائه انتهى الكلام يا بوزباليو مرتزقة,negative,dialectal
و لي ما عجباتو الاوضاع يرحل,negative,dialectal
اعرف غي ضحكت معاك مستشارتي ,positive,dialectal
هكذا نبغيك ,positive,dialectal
الله يسلمك السي رشيد,positive,dialectal
عارف لي كاين ,positive,dialectal
صباحكم مبروك لالة,positive,dialectal
سير تنعس الله يتبعك لبلا,negative,dialectal
بخير الحمد لله سيد الحاج ,positive,dialectal
قريبا ان شاء الله فالعاصمة عزيزة على قلبي ,positive,dialectal
اجي مرحبا بيك ,positive,dialectal
الله يسمح ليك ,positive,dialectal
العفو اخويا العزبز,positive,dialectal
الله يسخر ليك يا حبيبي ,positive,dialectal
السلام وعليكم أمين رغيب بغيت نشكرك بزاف على الفيديوهات لي كاتلوح ديما وتوحشناك تلوح شي حاجة خرى,positive,dialectal
إن شاء الله لن يخيب آمالي ويكون عند حسن ظني بيه الي عمرو مابخيب فيه ابدا,positive,dialectal
تاريخو أكيد ماهو مشرف,negative,dialectal
شكراا لحبيبة ديالي ,positive,dialectal
ماتبقاوش تسولوني بزاف اسئلة ما عندها معنى,negative,dialectal
بالطبع واخدينها ولكن غير باللسان شي أخر لانعرفه هدا هو التخلف بعينيه,negative,dialectal
مراكش عطاتني بزاف عوضاتني على بزاف كنت ضيعتهم مراكش وقتما تنجي ليها تنحس براسي فمدينتي,positive,dialectal
و دابا انا فخور بنفسي و متأكد ان الوالد غيكون فخور بيا الشكر موصول للجميع و خصوصا ,positive,dialectal
المهم من هادشي احبكم بلزاف بلزاف يا مغردين ,positive,dialectal
اخيرا غنعس مرتاح بعد سنوات طويلة من الصبر ,positive,dialectal
الله يرحم ليكم الوالدين جميعا ,positive,dialectal
لله يجيب لي يقول الحق,positive,dialectal
تمتع و شوف اخواتك الحلوات ,positive,dialectal
و الله سهيلة حالة صعبة,positive,dialectal
لالا راني متاكدة ماراهاش تخرج عندي حبي,positive,dialectal
الله يسلمك من كل سوء وشر انت اهلك يا قلبي,positive,dialectal
رئيس مقعد مريض لا يستطيع التحرك و الكلام لم يقدم خطاب للشعب منذ ما يقرب الخمس سنوات و الشعب يخشاه و يرتعش منه,negative,dialectal
ماننساش الصحراء حيت فيها دوزت أجمل أيام العطلة,positive,dialectal
دقيقة صمت حبايبي,positive,dialectal
كانت حلقة خفيفة ضريفة جميلة فيها كمية حلاوة وجمال الجميع ابدعو الصراحة بانتظار باقي الحلقات ,positive,dialectal
رئيس مشلول وشعب مذلول,negative,dialectal
برافو فخر المغرب والعرب,positive,dialectal
الله يعفو عليك تولي تحتارم حرفتك,negative,dialectal
 يارب اكون بحلم ماشفت بعيني,positive,dialectal
ا مالك على السيدة حشومة قرا اشنو كتبت بشوية لم تقلل من شأن المغرب,positive,dialectal
ماشي مشكل مقبولة على راسي,positive,dialectal
الله يسمح لينا منهم,positive,dialectal
اودي صافي وصلات ليهم للعظم هربات عليكم ببزاف,negative,dialectal
صباح النور الحمد لله مكاينش ,positive,dialectal
آخر الزمان هو هذا,negative,dialectal
على الأقل ارسنال وصلات للفينال,positive,dialectal
ان شاء الله يا ربي هي داخلة للتجارة و التسيير,positive,dialectal
عيد ميلاد سعيد ختيتوا الصغيرة,positive,dialectal
عندنا بالمغرب و الجهل عار و ليس ظلام,negative,dialectal
ها التعصب بدا,negative,dialectal
شبعت ضحك ملي شفتها مكاينش شي لاعب في التاريخ ما زكلش بينالتي إلا واحد و هو لي معمرو تارو,positive,dialectal
صباح النور صافي غا نولي نغرد غي على كرة باش نوصل لهاد كمية تفاعل ديما,positive,dialectal
التحكيم الاسباني أحسن من تحكيم الدوري المغربي بدرجة وحدة,positive,dialectal
الله يعاونك عليها,positive,dialectal
القصة جاتني عادي و لكن لي ضحكني هو ديك الجملة ديال شرح المفردات,positive,dialectal
هانتي استفدتي شي حاجة هاد الليلة ,positive,dialectal
الله يحفظاك,positive,dialectal
الحمد لله غاندوزو بالحب كيف ديما,positive,dialectal
لكن كتقال بالضحك فحال بزاف ديال الحوايج,positive,dialectal
معمرني شفت العنصرية في المغرب بسباب اللون,positive,dialectal
الله يرحموا,positive,dialectal
الله يهدي مخلق,positive,dialectal
الله يهدي مخلق,positive,dialectal
أخبث خلق الله هادي عارفينها كاملين لكن علاش تقدموا علينا بخطوات,negative,dialectal
أول واحد غا نبلوكيه هو هاد السيد مكيعرفش يناقش كتشدوا من هنا كيجبد ليه حوايج اخرين كتحول معاه فيهم كيبدل ثاني,negative,dialectal
هاد الميساج حتى هو واعر,positive,dialectal
حتى العربية لي كيهضر بيها زوينة,positive,dialectal
التحكيم المصري لا علاقة و الدليل اعتماد الإتحاد المصري على الحكام الأجانب,negative,dialectal
صراحة معنيديش مع الكرة المغربية,negative,dialectal
كنا مغاربة و بقينا مغاربة و غا نبقاو مغربة و إن الفرج لقريب,positive,dialectal
أكره التفاصيل,negative,dialectal
الحمد لله معرفهاش,positive,dialectal
كنتكلمو على أثمنة خيالية على فكرة حتى المستوى ديال التعليم الخصوصي في بعض المدارس هابط,negative,dialectal
الله يجيب شيفا,positive,dialectal
البطولة الوطنية مسواها ضعيف و ممل للغاية,negative,dialectal
الله يعفو,positive,dialectal
واييه راه حتى أنا داك شي لي بغيت نقول,positive,dialectal
الحمد لله هاد القنوات ديال السعودية كينقلو الدوريات الكبرى,positive,dialectal
الحمد لله دارت معايا مزيان قالت ليا تقاد حتى تقاديت عاد صورات بنت الناس الله يعمرها دار,positive,dialectal
العفو رائع هذا د نسيم الحداد,positive,dialectal
يا ربي آمين و حتى أنا معاك,positive,dialectal
لي مبغاش يتفهم ليا هو علاش بنادم كيضرب طريق ديال بالصح باش يوصل أوروبا و في اللخر يبدأ يسرق و يبيع في داك شي و في آخر يرجعوه البلاد و يقول ليك ظلموني,negative,dialectal
مزال ما واعينش,negative,dialectal
أه الصبر والله,positive,dialectal
أكيد نهار لي نتعلموا فيه النقاش كن أكيد غادين نخرجو من الأزمة الفكرية لي ولات عندنا,negative,dialectal
بعض المرات كنبدا نقرأ في التعليقات و التغريدات ديال ولاد و بنات بلادي كنبغي نشير بتيليفون لهاد الدرجة مستوى ديالنا نزل ,negative,dialectal
أنا كنتعقد من هاد شي شيء لا يستحق النقاش الطامة الكبرى كاين لي معندوا حتى فكرة يدافع عليها و هاضر المهم هو يزيد الصداع,negative,dialectal
يا ربي تغفر ليه,positive,dialectal
مبروك لمصر اللقب قبل أن تلعب البطولة يستاهلوا إخواننا المصريين,positive,dialectal
دير لي بغات تصرف غير مقبول من رجل تعليم,negative,dialectal
ها علاش إخواننا المصريين يقولون الله على أخلاقك يا فخر العرب,positive,dialectal
أنا ما رجاوي ما ودادي أنا كنموت على ليفربول لكن مقارنتي الشخصية كنقول اليوم أفضل من مباراة الخميس,positive,dialectal
عندك الصح الجمهور كيعمل الضغط,positive,dialectal
أحسن ديربي تفرجت فيه لن انظر إلى النتيجة نقطة سوداء البطاقتين الحمراوين برافو الرجاء برافو الوداد عامين متفرجت في الديربي لكن هاد المرة تفرجت و عجبني الحال للمعلومة مباراة اليوم أفضل مباراة السيتي و ليفربول,positive,dialectal
مصطلح وقحة مخاصوش يتقال بنت مزال كتبان عندها او سنة مزال طائشة ممكن أتفق لكن وقحة لا أتفق تماما,negative,dialectal
سمحي ليا هي قلات الأدب هو مول العقل هي مراهقة كاين طرق أخرى,negative,dialectal
كان كتمارس عليه سلطة القمع و التحقير و ملي توضف بغا يفرخ المكبوثات ديالو في التعليم,negative,dialectal
من عندي أنا غا توصل إن شاء الله,positive,dialectal
سياسة الترقاع ستظل بهم في القاع,negative,dialectal
أصعب هو تبقا في بلادك حاصل متعرف ما دير,negative,dialectal
الله يبارك فيك,positive,dialectal
آمييين يا ربي,positive,dialectal
العام الجديد باين العربون كيف غا يكون بدا بمشكل في الأنترنيت,negative,dialectal
باقي زوفري الحمد لله و افتخر,positive,dialectal
بالصحة لي غا ياكلها,positive,dialectal
أحسن ماتش ليفربول ضد بايرن ميونخ بزوجهم كيلعبوا كرة,positive,dialectal
الظلم هذا و الله إلى غي كايخربقو,negative,dialectal
اسمح لي ان لم تكن ذو شهادات فلا عمل لك عند الغرب و عند العرب لا عمل لك سواء بها او بدونها,negative,dialectal
واخا معرفش شحال عندك في عمر غا نقول ليك شرفتي المهم كانضحك معاك,positive,dialectal
على هاد الفعلة بلوك و قليلة في حقك,negative,dialectal
جميع المغاربة عارفين هاد الهضرة لكن كلشي ساكت شخصيا ركبت في تران ديال المغرب مرة وحدة و كان الروطار ساعتين و أنا كنتشمش في المحمدية كن ضربتها رجل كون وصلت حلفت لا ركبت فيهم مزال,negative,dialectal
مجلس الكونغرس غادي يفرض عقوبات كبيرة على السعودية,negative,dialectal
كوفي عنان الله يرحموا مسكين,positive,dialectal
لاش كتكبر لاش هضر معانا بالدارجة,negative,dialectal
متشرفين أخي العزيز كنت درتي المدرسة الفلاحية لا,positive,dialectal
ما أجمل أنك تقول ليا اشنو خدمتك بالرجولة درني راسي,positive,dialectal
فين الزردة ولا الحلوة,positive,dialectal
قلب واحد هو قلب الواليدة,positive,dialectal
عرفتي ملي شفت جواب شبعت ضحك,positive,dialectal
ترحب بيك الجنة,positive,dialectal
لا و الله حتى بزاف نهار زين هذا تصبح على هاد الفيديو,positive,dialectal
صراحة الانتقام لكن إذا تم الإعتذار فالمسامحة افضل,positive,dialectal
الواحد هو لي يشكر راسو صباح العز و الفخامة,positive,dialectal
شي أغاني أول مرة كنشوفهم راه كارثة,negative,dialectal
الحمدلله مهارتي هي منخاف من حتى حاجة إلا من الله و أنا لست عبدا للعبيد ثانيا الوفاء في الصداقة صديقي اذا احتاجني اعطيته قلبي و أؤمن بأن الرجال مواقف و ليس كلام نسوان,positive,dialectal
الله يهدي ما خلق,negative,dialectal
أحسن تقرير شفتوا على الأزمة التركية,positive,dialectal
شعور سيء أن تكتشف مؤخرا أنك تعاملت دائما مع الأشباه أشباه الأحباء أشباه الأصدقاء لا شيء حقيقي وثابت في حياتك إلى الآن,negative,dialectal
صراحة أحسن فيلم تفرجت فيه فكاهة رائع و حتى القصة أروع أستاذة فاطمة علي بوبكدي هرم الاخراج المغربي,positive,dialectal
ولاد الناس,positive,dialectal
ملي تشوف هاد التصرفات عرف الجهل مزال في المغرب,negative,dialectal
الله يوصلك على خير,positive,dialectal
أفضل شيء وقع ليا في هاد الدنيا هي أنني معنديش فالعائلة شي واحد في فرنسا للمعلومة الفرق بين فرنسا و المغريب هو اورو لا غير,positive,dialectal
وماتنساوش تشكرو هاد ناس لديما عاتقين الموقف باش مانتحرموش من الفراجة شكرا,positive,dialectal
هاد التخلف اش هاد الافكار الرجعية لنرتقي القاع مزدحم,negative,dialectal
بزاف د الحب ,positive,dialectal
أول مرة كيموت لي واحد الإنسان كنعرفو غا من خلال النت إنسان عرفتو و عرفناه بالتغريدات و الرسائل ديالو إحساس مرون و مخربق و جديد عليا أنا شخصيا نتمناو ليه الرحمة و كنتمناو الصبر للعائلة ديالو الحياة قصيرة عيشوها فرحانين بالبساطة لي فيها و بزاف ديال الحب ,positive,dialectal
احسن حاجة درتيها حيتاش الضو ديال الشاشات قاسح على العينين خصوصا بالليل,positive,dialectal
هكاك مزيان بعدا,positive,dialectal
اش هاد الوقاحة ,negative,dialectal
واخا مداير حتى ذنب المرض كايكون ابتلاء كيغفر الله فيه الخطايا السابقة واللاحقة طهورا إن شاء الله,positive,dialectal
مايكون معاك باس اخويا,positive,dialectal
تصبح على خير اخويا,positive,dialectal
باقي كيدوي هذاك مابينو وبين تدريب غير السمية,negative,dialectal
مرحبا اخويا,positive,dialectal
