tweets,type,class
الجانب الثقافي قليل مكتستتمر فيه والدولة آخر همها,negative,dialectal
بكل فرح اسيدي إنشاء الله,positive,standard
حتى انا توحشتك بزاف نقدر نجي فالرببع انشاء الله ,positive,dialectal
حتى حنا غير كنضحكو,positive,dialectal
هد التصويرة جات واعرة يا فنان بصحتك أبا التراب,positive,dialectal
صافي مسكينة غدي تعقد فحياتها,negative,dialectal
الزهر ديالهم لا يعلا عليه,positive,dialectal
عيد ميلاد سعيد الله احفظو,positive,dialectal
الله يحفظك و يعطيك الصحة,positive,dialectal
من الامور اللي كا تفقس فهاد البلد السعيد انعدام تواصل الدولة في شخص وزير الاتصال مع المواطن ما عطونا معلومات على فين وصل آفة انفلونزا الخنازير و ما عاودش ذكرو الحمى القلاعية كانت الامور تحت السيطرة مرحبا كانت خارج السيطرة نضاعفو الجهود,negative,dialectal
الله يوقف معاك آ الضرافات و يغلبك على الزمان,positive,dialectal
ما شفتي والو و لكن الحمد لله تعلمنا بزاف د الحوايج,positive,dialectal
اختيارات الإمام روعة,positive,standard
الله اكبر نسولو فيه نديرو معاه الصواب,positive,dialectal
الله يجازيك بخير,positive,dialectal
نعقل عليهم كيف خلاقو كبرو تبارك الله ,positive,dialectal
واقيلا عندك الحق ,positive,dialectal
انا معنديش مشكل فالتعريف بهاد النوع ديال المبادرات بدون قراءة النوايا غي ميكونش التغليط,positive,dialectal
اودي غي دير مزيان و الرحيم الله,positive,dialectal
متافق معاك ,positive,dialectal
الله يعاونك و يكمل عليك بخير,positive,dialectal
بادرة طيبة و محمودة الله يرحم الفقيد و يسكنه فسيح جناته ,positive,standard
تحليل واعر ,positive,dialectal
اودي تنظن أن الهزالة لي دارت هادشي و الردائة,negative,dialectal
الله يوصلك على خير,positive,dialectal
امين ربي يخليك,positive,dialectal
شكرا امين ,positive,standard
غير ضاحكة ,positive,dialectal
شكرا شكرا ,positive,standard
طبعا طبعا اكيد ,positive,standard
امين يا ربي واخا,positive,dialectal
واخا شكرا,positive,dialectal
الله يا ربي الله امين,positive,standard
امين شكرا,positive,standard
الله يجيب الشفا,positive,dialectal
امين شكرا ,positive,standard
امين و حتى نتي ,positive,dialectal
كانبقا نكحب حتى كانحس بالروح غادي تخرج المسامحة ا الخوت ,negative,dialectal
امين و ليك حتى نتا,positive,dialectal
عيد ميلاد سعيد عصام ,positive,standard
حب الله و الوالدين ,positive,standard
شكرا الله يحفظك,positive,dialectal
سمحولينا ,positive,dialectal
زوينة ,positive,dialectal
لا لا الله يحفظ,negative,dialectal
 ماتقولهاش,negative,dialectal
 الحمد لله,positive,standard
 ياك بعدا شكرا شكرا,positive,dialectal
ماضحكوش ,negative,dialectal
 هانيا بصحتك ,positive,dialectal
الله يحفظك,positive,dialectal
الله يخلي لينا المغرب ديالنا لي حسن من اوروبا ,positive,dialectal
امين ربي يخليك ,positive,dialectal
الله يحفظك ,positive,dialectal
ياك بعدا اوا الحمد لله بالشفا ان شاء الله ,positive,dialectal
بالصحة ,positive,standard
 عفوا مرحبا ,positive,standard
الله يجيب الشفا,positive,dialectal
صبر جميل,positive,standard
امين ميرسي و انت كيف حالك,positive,dialectal
لقد ضربني البرد و الحمد لله ,positive,dialectal
صباح الورد ختي ,positive,dialectal
صباح النور عقيد,positive,standard
الله يشافيك ,positive,dialectal
الله يسخر ,positive,dialectal
الله يحفظك ,positive,dialectal
ان شاء الله يتحقق ,positive,dialectal
ماكيناش مع الاسف,negative,dialectal
ان شاء الله ,positive,standard
غاتشجع الريال طبعا ياك ,positive,dialectal
الله يسلمك,positive,dialectal
غير الدنيا و صافي سول فيك الخير و الرباح ,positive,dialectal
فهمتي غلط ,negative,dialectal
صدقت,positive,standard
سمحولينا ,positive,dialectal
شكرا,positive,standard
بزاف,positive,dialectal
ان شاء الله ,positive,standard
الله يحفظك,positive,dialectal
غزالة سوس ,positive,standard
الله يحفظك,positive,dialectal
الحقيقة مع الاسف ,negative,standard
الله يحفظك ,positive,dialectal
 الله يكبر بيك,positive,dialectal
مزيانة ,positive,dialectal
الله يحفظك ,positive,dialectal
 الله يكبر بيك,positive,dialectal
 استغفر الله العظيم,positive,standard
زوين ,positive,dialectal
ديجا قريتها الله يخليكم لبعضياتكم و يخلي ليكم الوليدات و يرزقك ياسمين ,positive,dialectal
امين و انت ربنا يهديك,positive,standard
 فعايل و نص گالاك,positive,dialectal
سير الله يمسخك قول امين,negative,dialectal
وراني نصرت ختي ظالمة او مظلومة ,positive,dialectal
تستاهل ,positive,dialectal
عندي انا الحمد لله ,positive,dialectal
شكرا ,positive,standard
بففف عيد ميلاد سعيد بعدا واخا معطلة ,positive,dialectal
 شكرا لك اخ,positive,standard
شكرا لك على هذه المعلومات القيمة,positive,standard
الله يحفظك ,positive,dialectal
الله يكمل عليها و عليك ,positive,dialectal
يا سلام روعة,positive,dialectal
اش هاد الباطل ,negative,dialectal
 الله يكبر بيك شكرا,positive,dialectal
 نعلي الشيطان و جمعة مباركة ,positive,dialectal
صافي ها انا نتفاءل ,positive,dialectal
امين شكرا و لك بالمثل,positive,standard
الله يكون ف العون حاسة بيك ,positive,dialectal
العفو ,positive,dialectal
الله يسخر ليك و بلا ازمة ا سيدي ,positive,dialectal
لا لا عسل عسل ,positive,standard
استغفر الله العظيم,positive,standard
الله يسخر ليك,positive,dialectal
يقلب ومايستسلمش و غادي يلقا ان شاء الله ,positive,dialectal
سمحي لينا نتي مانعاودوش,positive,dialectal
الله يسر للجميع ,positive,standard
ماتعيرش الله يخليك المهم هو الاخلاق و الهندسة ,positive,dialectal
واخا ا سيدي,positive,dialectal
 الله يحفظك,positive,dialectal
استغفر الله اختاه,positive,standard
الله يكبر بيك,positive,dialectal
شكرا ,positive,standard
ان شاء الله,positive,standard
الله يحفظك ماعنديش فكرة والله اعلم عموما شكرا بزاف جواد,positive,dialectal
ان شاء الله,positive,standard
اوك جواد شكرا,positive,dialectal
شي شهر عسل هنا ,positive,dialectal
 يا اسطورة انت,positive,dialectal
اوا صافي هي متافقين ,positive,dialectal
 ماتفقصنيش ,negative,dialectal
الله يسر ليك,positive,dialectal
 وي راك شاد الحساب الحمد لله,positive,dialectal
 اوا الله يجيب الخير,positive,dialectal
نعم قلت شكرا ,positive,standard
صباح الخير,positive,standard
الله يحفظك ,positive,dialectal
 على سلامتك,positive,dialectal
مرحبا ,positive,standard
 ناشط و عايش اللحظة ,positive,dialectal
نتا تعرف كثر طبعا,positive,dialectal
صباح الخير و سنة سعيدة مليئة بالحب و النجاح ليكم جميعا ,positive,standard
امين,positive,standard
الله يكون ف العون غير حاولي راك زوينة خارجيا و داخليا ,positive,dialectal
رجوع الله ا ختي استغفري مولانا كلنا كانشوفو فراسنا غير العيوب و كانشوفو ف الاخرين غير الزوين خاصك غير تعرفي بلي كل واحد زوين بطريقتو لي مختلفة على الاخرين و كاتميزو,positive,dialectal
امين شكرا,positive,dialectal
طبعا طبعا ,positive,standard
الله يكملك بعقلك,positive,dialectal
تا حد مابقا يحشم هنا ,negative,dialectal
 ربنا يخليك,positive,dialectal
لا نتي مابقيتيش عاجباني ,negative,dialectal
اذهبو الى الجحيم ,negative,standard
صباحكم مبروك ,positive,standard
شكرا,positive,standard
 الله يعطيك الصحة,positive,standard
الله يعطيك الصحة,positive,standard
 ان شاء الله,positive,standard
بالصحة و الراحة الحليب درتو حيت ماعنديش لاكخيم فخيش ,positive,dialectal
شكرا ,positive,standard
 المسامحة,positive,standard
 الله يحفظك,positive,dialectal
رأيي المتواضع عطيتو,positive,dialectal
شكرا على المعلومة ,positive,standard
بارك الله فيك ,positive,standard
الله يبارك فيك,positive,standard
بالصحة ,positive,standard
مرحبا ,positive,standard
ان شاء الله ,positive,standard
 ان شاء الله ,positive,standard
و باش يكمل هاد الصباح نسمعو لفيروز,positive,dialectal
الله يكمل بيخير ,positive,dialectal
استغفر الله العظيم ,positive,standard
بصحتك و راحتك ,positive,dialectal
كاينين مرحبا ,positive,dialectal
مرحبا بيك ,positive,dialectal
مرحبا بيك ,positive,dialectal
الله يسامح قلبي بيض و دغيا كانسى ,positive,dialectal
الله يحفظك مرحبا بيك ,positive,dialectal
 احسن بكثير ,positive,standard
صباح الخير زوينين بون ويكاند ,positive,dialectal
 تصبح على خير ا دكتور ,positive,dialectal
اهتمام احترام وفاء,positive,standard
ناري ناري سمح لينا عيد ميلاد سعيد باشما تمنيتي ان شاء الله ,positive,dialectal
نعم ,positive,standard
ان شاء الله داكشي لي خاصني ندير ,positive,dialectal
لقد وقعنا في الفخ للأسف,negative,standard
تماما,positive,standard
عفوا ,positive,standard
بالصحة و الراحة ذوقك لابأس به ,positive,dialectal
امين ,positive,standard
الحب هاداك ,positive,dialectal
راه ديك الغيرة هي فين بقات و انا شخصيا اؤمن انه ماكاينش حب بدون غيرة,positive,dialectal
فرحتلك يا حبيبتشي ربنا يتمم بيخير ,positive,dialectal
الله يا ربي الله البنت ضاعت منا ,negative,dialectal
شكون سعيد الحظ و ماعرضتيني گاع ,positive,dialectal
امين و انت كذلك,positive,standard
 الله يحفظك,positive,dialectal
مرحبا ,positive,standard
امين,positive,standard
 الله يحفظك علينا و عليك,positive,dialectal
علينا و عليك ,positive,standard
الله يبارك فيك و لك كذلك,positive,standard
 الله يحفظك,positive,dialectal
هادوك مراض و صافي,negative,dialectal
عجباتني هادي ان شاء الله ,positive,dialectal
عندك الصح,positive,dialectal
صباحك مبروك,positive,standard
الله يكبر بيك ,positive,dialectal
الحمد لله عليها نعمة لمن كنت غانبقا نتشكا منهم كون ماكنتوش ,positive,dialectal
اودي ماشي تا ف شركة هادشي خلي عالله,negative,dialectal
ه عارفينك رجل مواقف ا سي العلالي,positive,dialectal
واييه ندمني ,negative,dialectal
تيقتك تيقتك,positive,standard
مافيها باس مافيها باس,positive,dialectal
امين,positive,standard
و يحفظك حبيبي ,positive,dialectal
الحقيقة و صافي ,positive,dialectal
صباحك ابرك احسن آية ف العالم ,positive,standard
صباح النور ,positive,standard
 داكشي لي كاين الله يكمل بيخير ,positive,dialectal
 بلا مانوصيك اذن الله يداوم المحبة,positive,dialectal
 للناس في الحب مذاهب اللهم زد و بارك,positive,dialectal
 عجباتني طريقة التفكير ديالك ,positive,dialectal
 واخا ا لالة المهم نحن في الخدمة في اي وقت ,positive,dialectal
فاسة و سواسة عجيب الله يخليكم لبعض و يداوم المحبة,positive,dialectal
شكرا ,positive,standard
عندو الحق ,positive,dialectal
ربي يخليك شكرا,positive,dialectal
و يومك اسعد عفاف ,positive,standard
مرحبا نورتو المكان ,positive,dialectal
 صباح الخير,positive,standard
 اوا الحمد لله ,positive,dialectal
سؤال في محله والله العظيم,positive,standard
يا رب ,positive,standard
وليت كانكره الويكاند كون غير يخليوني نفيق وقتما بغيت و نخدم,negative,dialectal
ماكنتفرجش ولكن ان شاء الله تربح الوداد ,positive,dialectal
صباح النور ,positive,standard
والو بالصحة,positive,dialectal
امين و ليك حتى نتي ,positive,dialectal
امين ا ختي ,positive,standard
بسم الله,positive,dialectal
شكرا لهلا يخطيك ,positive,dialectal
الله يعطيكم ماكتمناو جميعا ,positive,dialectal
شكرا شكرا بقا تعطيني بحال هاد النصائح القيمة راني في حاجة اليها ,positive,dialectal
حق مولانا,positive,dialectal
انا غي دريويشة ,positive,dialectal
صافي سير ماصدقتيش ,negative,dialectal
ربي يخليك,positive,dialectal
انا لا أقدر بثمن ,positive,standard
راه الصحافة و البوليس تاهما مواطنين لي صور مريض و لي بارطاجا مريض ماكاين تا فرق,negative,dialectal
النهي كايدار بينك و بين الشخص و بالتي هي احسن بغا ياخد بنصيحتك هو هاداك مابغاش ضير راسو ماعندك تا شي حق لا ف الدين لا ف القانون انك تفضحيه,positive,dialectal
هنيئا ليك ,positive,dialectal
مسلمين الاسلام كايقوليك تفضحي عباد الله و تشوهيهم ,negative,dialectal
باشمن حق كاتپارطاجيو تصاور و هوية هاداك الشخص اي واحد كايبارطاجي هاداكشي يعرف راسو مريض و ماكاين تا فرق بينو و بين هادوك لي قطعو الريوس غير كلا واحد و كيفاش كايظهر المرض ديالو واااااااااا دخلو سوق روسكم ا عباد الله واك واك كلا يديها فراسو ,negative,dialectal
 بصحتك غرت ,positive,dialectal
اللهم يسر سنة سعيدة,positive,standard
 واخا سنة سعيدة ,positive,dialectal
يالاه بدات عندي السيمانة الاربعاء بنكهة الاثنين ,positive,dialectal
صباحكم مبروك ,positive,standard
على سلامتك ان شاء الله خير تفاءلوا خيرا تجدوه ,positive,dialectal
ميرسي سنة سعيدة عليك حتى نتي ان شاءالله ,positive,dialectal
سنة سعيدة ,positive,standard
امين ربي يخليك ,positive,dialectal
تماما الله يكملك بعقلك,positive,dialectal
الحمد لله سول فيك الخير,positive,dialectal
 حشمتي تقولها نيشان الله يحفظك ,positive,dialectal
 منطقي داكشي ,positive,dialectal
اكيد ,positive,standard
الله يحفظك ,positive,dialectal
كانحس براسي تبدلت من داك العام لهاد العام سعاد ديال ماشي هي ديال نهائيا ان شاء الله احسن و احسن ,positive,dialectal
داكشي لي كاين سنة سعيدة باشما تمنيتي ,positive,dialectal
سنة سعيدة ليكم كاملين الله يزرقكم ماتمنيتو و يفرحكم حاولو تستغلو هاد النهار الاخير ف و ماتخليو تا واحد مقلق منكم و تبداو العام الجديد صفحة بيضاء مع الجميع ,positive,dialectal
 هانيا الله يحفظك,positive,dialectal
امين بارك الله فيك,positive,standard
امين,positive,standard
ان شاء الله و حتى نتا الله يعطيك ماتمنى,positive,dialectal
صافي دابا خسرتيها مابقا عندك ماتعتق,negative,dialectal
صافي نتا غير سكت ,negative,dialectal
 صافي موافقة,positive,dialectal
صافي هي لي ماتعاود ,positive,dialectal
الله يحفظك ليا صافي تقت ,positive,dialectal
الله عليكي يا عايشة ,positive,dialectal
الله يحفظك ,positive,dialectal
صافي ماكاين غير تفاؤل ,positive,dialectal
تماما ,positive,standard
الحمد لله ,positive,standard
ه امين ,positive,standard
مزيان ,positive,dialectal
أستغفر الله العظيم و أتوب إليه,positive,standard
الله يعاونك,positive,dialectal
اوا جي مرحبا ,positive,dialectal
صباحكم مبروك ,positive,standard
 رب زدني علما,positive,standard
اللهم زد و بارك,positive,standard
مايكون باس,positive,dialectal
تبارك الله,positive,standard
ماشي بزاف ,positive,dialectal
 بالتوفيق,positive,standard
هنيئا لك,positive,standard
هنيئا,positive,standard
من حسن الى احسن ,positive,standard
هنيئا,positive,standard
اللهم زد وبارك,positive,standard
حالتك مستعصية,negative,standard
ضميرك مرتاح ,positive,standard
كلك ذوق شكرا,positive,standard
 بالصحة و الراحة ا سيدي,positive,dialectal
تماما متفقة معاك ,positive,dialectal
سؤال في محله ,positive,standard
احترمك كثيرا وأطلب من الله ان يوفقك في حياتك العلمية والعملية فتاة مثقفة مرحة دام لك الالق — امين بارك الله فيك,positive,standard
بقيتو كاتهدرو على ال قلت نمشي نسمع دعيتكم الله ,negative,dialectal
الله يسلمك ,positive,standard
تا انا كتعجبيني ا سعاد ه — اليوم العالمي للاعجاب ,positive,dialectal
تماما لي درتيها تسناها سواء خايبة ولا زوينة ,positive,dialectal
واقيلة الاسهل هو نعرفو لي ماشي ولد الناس ديك الساعة غانستنتجو تعريف ولد الناس نديرو داكشي ديال الماط ,positive,dialectal
الله يحفظك ,positive,dialectal
صباح الخير و نهاركم مبروك ,positive,standard
الله يسلمك,positive,standard
وبي يخليك شكرا ,positive,dialectal
الله يحفظك ,positive,dialectal
الله يسلمك ,positive,standard
الله يبارك فيك ,positive,dialectal
الحمد لله سول فيك الخير شكرا,positive,dialectal
شي واحد تاني قتل صاحبتو ف عين ذياب,negative,dialectal
كل نهار جريمة و من سيء الى اسوأ هادشي ولا كايخلع الله يحضر السلامة ردو البال لراسكم و لي عزاز عليكم ,negative,dialectal
شكرا ,positive,standard
ربي يخليك ,positive,dialectal
الله يحفظك,positive,standard
الله يحفظك,positive,standard
الله يحفظك,positive,standard
ربي يخليك,positive,dialectal
الله يسخر,positive,standard
صباحك مبروك,positive,standard
الله يكبر بيك ,positive,dialectal
الله يسلمك و صباحك ابرك ,positive,standard
سول فيك الخير و الرباح ربي يخليك,positive,dialectal
الله يحفظك,positive,dialectal
الله يسلمك,positive,dialectal
نوركم الله بنوره,positive,standard
ربي يخليك الله يكبر بيك ,positive,dialectal
الله يحفظك ,positive,standard
 الله يحفظك,positive,standard
اعوذ بالله,positive,standard
الله يحفظك ,positive,standard
الله يحفظك شكرا ,positive,standard
لا لا الحمدلله مازال على قيد الحياة هاد الساعة ,positive,dialectal
غير الدنيا الله يحفظك ,positive,dialectal
سمحليا ,positive,dialectal
الله يحفظك,positive,standard
الله يحفظك,positive,dialectal
الله يكبر بيك الحمدلله شكرا ,positive,dialectal
ربي يخليك ,positive,standard
غير الدنيا لهلا يخطيك,positive,dialectal
الله يسلمك دكتور,positive,dialectal
طبعا ,positive,standard
الله يكبر بيك,positive,dialectal
الله يحفظك ,positive,dialectal
الحمد لله ربي يخليك,positive,standard
الله يحفظك,positive,standard
الله يحفظك,positive,standard
سول فيك الخير,positive,dialectal
الله يحفظك,positive,dialectal
الحمد لله ربي يخليك ,positive,dialectal
الله يسلمك,positive,dialectal
والو باس ربي يخليك,positive,dialectal
السلام عليكم توحشتكم شكرا لگاع لي سولو فيا لهلا يخطيكم ,positive,dialectal
حسن گاع الصراحة,positive,dialectal
انا كانبغي كيما نتعامل معاك تعامل معايا ,positive,dialectal
حسن سعداتك,positive,dialectal
فمي كاياكلني مكلخة اش غادي دير,negative,dialectal
الله يرضي عليك ,positive,dialectal
الله يسخر,positive,dialectal
كايسحابلي نقارضتو لي كاتجيبو الورد الله يكمل بيخير,positive,dialectal
شكرا,positive,standard
النذرة هي لي كاتعطي قيمة للحاجة ,positive,dialectal
ربنا لا تؤاخذنا بما فعل السفهاء منا,positive,standard
تماما اوا دوماج يا خسارة ,negative,dialectal
لا يا بوحدي يا بالناقص ,negative,dialectal
 الشجاعة هي كولشي ,positive,dialectal
استغفر الله,positive,standard
نتا لي ضيعتي الفرصة ديالك ,negative,dialectal
ه غي ضاحكة معاك ,positive,dialectal
سمحلينا ,positive,dialectal
ماصدقتيش ,negative,dialectal
صافي المسامحة,positive,dialectal
استغفر الله ,positive,standard
اللهم قوي ايمانهم ,positive,standard
استغفر الله حرام عليك ,negative,dialectal
شكرا على المعلومات القيمة,positive,standard
اللهم بارك,positive,standard
بالصحة ,positive,standard
المسامحة ,positive,dialectal
الله يصاوب ليكم ليام,positive,dialectal
و لك الاجر ,positive,standard
 ماكاين باس صباح الخير ,positive,dialectal
بارك الله فيك ا الحاج,positive,dialectal
صباح النور اية ,positive,standard
يا للاروعة,positive,standard
تبارك الله عليك عمي حسن محظوظة الاستاذة,positive,standard
الله يكون ف العون ,positive,dialectal
 الله يكبر بيك ,positive,dialectal
 بالتوفيق,positive,standard
مرحبا نورتي ,positive,dialectal
الله يهدينا,positive,standard
 اكيد,positive,standard
زوينة,positive,dialectal
 شكرا شكرا ,positive,standard
ناري تعصبات ,negative,dialectal
اوك شكرا,positive,dialectal
 الله يكبر بيك,positive,dialectal
الاغنية زوينة,positive,dialectal
بحبك الحب كلمة قليلة بالنسبة ليك ,positive,dialectal
الله يطول عمرك الحياة حلوه بس نفهمها ,positive,dialectal
الله يصاوب ليك ليام,positive,dialectal
عيد ميلاد سعيد بالصحة و السلامة و كل ماكتمنى ان شاء الله ,positive,standard
 تصبح على خير,positive,dialectal
صدقت الحكمة,positive,standard
بالصحة,positive,standard
ظهر الحق و زهق الباطل ,positive,standard
صافي فقدت الامل ,negative,dialectal
الله يهديك ا هاد البنت ,positive,dialectal
باقي مصرة على كلامي ,positive,dialectal
انا لي عارفة صباح الخير,positive,dialectal
ان شاء الله مرحبا بيك,positive,dialectal
الله يرضي عليك ا بنتي بالبنين و البنات ان شاء الله ,positive,dialectal
 ريالية و افتخر و نعلي راسي الفوق ,positive,dialectal
ماكاين مشكل,positive,dialectal
سمح ليا ماقصدتش ,positive,dialectal
 الله يكمل عليها بالخير,positive,dialectal
غالبا,positive,standard
تماما,positive,standard
بالصحة و الراحة و الله يطول عمرها ,positive,dialectal
سمحولينا,positive,dialectal
هاكا خلقنا الله ,positive,dialectal
الحمد لله و نتي,positive,dialectal
تصبحو على خير ,positive,dialectal
اوا تهلا فيها الله يخليكم لبعضياتكم ,positive,dialectal
لهلا يخطي عليك المدام و صافي,positive,dialectal
على هاد السلبية خاصك العصا بصح نيت ,negative,dialectal
الله يجيب الشفا ,positive,dialectal
الله يرضي عليك ا بنتي ,positive,dialectal
 شكرا شكرا ,positive,standard
مرحبا بيك ,positive,dialectal
صباح الخير اية ,positive,standard
ماكايناش لاباج فيسبوك مالقيتهاش لقيت ليميل و صيفط ليهم ان ميل صباحك مبروك,positive,dialectal
ايوا الله يكمل عليه بالخير و يرزقو ماحسن ان شاء الله,positive,dialectal
كوني هانية ,positive,dialectal
الله يحفظك,positive,standard
الحمد لله شوية ربي يخليك,positive,dialectal
امين و حتى نتي ,positive,dialectal
ربي يخليك ا ختي امين يا رب شكرا ,positive,dialectal
 توحشتك انا ,positive,dialectal
ولينا نلقاو صعوبات نفهمو الجيل الصاعد ,negative,dialectal
خودي راحتك تستاهل,positive,dialectal
و فرحانة اوي حضرتك ,positive,dialectal
شكرا ,positive,standard
كانگولها من زمااان حق الله العظيم ,positive,dialectal
امين,positive,standard
مامشا معاك باس,positive,dialectal
واخا شكرا,positive,dialectal
امين ربي يخليك,positive,dialectal
اوك الله يحفظك,positive,dialectal
امين و حتى نتا,positive,dialectal
الله يهدي ما خلق,positive,dialectal
الله ياخد الحق و يشافيهم ,positive,dialectal
وا ماتخلنعنيش ياك قلتي بيخير ,positive,dialectal
شاداني الخلعة ,negative,dialectal
نسيت ماقلت ليك عيد ميلاد سعيد البارح قلتها نهار قبل و نقولها ليك تاني نهار من بعد جمعهم و قسم على جوج تعطيك النهار بالضبط عيد ميلاد سعيد ,positive,dialectal
 ان شاء الله ,positive,standard
 الله يحفظك ,positive,dialectal
انه يكون جزء من تاريخ المغرب ماكايعنيش راهو زوين و بغينا و لا كرهنا راه جزء من تاريخ المغرب ,positive,dialectal
 وايلي عيد ميلاد سعيد ا سيدي العقبة تولي مئوي ,positive,dialectal
واخا الحاج ,positive,dialectal
 ااااه مزيان عبرتي عليه,positive,dialectal
رمضان و صايم قلبتي عليها الصراحة الحمد لله على السلامة,positive,dialectal
اودي غير الصبر حتى انا واحد المرة كاع دوروني واحد سبيطار كامل كل واحد يسيفطني لبلاصة و لي سولتو فين جا بنك الدم يقوليا مالك ا ختي شايط عليك الدم عطيه ليا لشايط عليك هادو خدامين ف سبيطار يا حسرة خليها عالله و صافي,negative,dialectal
لهلا يخطيك ا ختي الله يكبر بيك ,positive,dialectal
راك عارف الزين يحشم على زينو و,positive,dialectal
داكوغ شكرا,positive,dialectal
لا بلاش يالله قلتي ضريفة خليني ضريفة ,positive,dialectal
مبروك,positive,standard
اودي كاين لي واخد افكار اخرى غير خلينا ساكتين الله يحفظك ,negative,dialectal
 صباحك مبروك,positive,standard
 لا ضريفة هادشي لي خارج عليا نيت صباحك مبروك,positive,dialectal
اودي صباحك مبروك ,positive,dialectal
داكوغ شكرا على النصيحة,positive,dialectal
دريس ماعنديش الگانة لهادشي غير نصيحة عمرك تدعي على شي واحد ببحال هادشي ماعرفتي فين تخرج,negative,dialectal
هادشي لي بانليا مع الاسف,negative,dialectal
الله يفرحكم بوليداتكم,positive,dialectal
الله يهدي الجميع,positive,standard
كاتشوف شي شاف ولا مدير قبيح بزاف و ستخيكت و كايزيد فيه ف الزيار كاتقول او هدا مالو على هادشي كامل نهار ماكايكونش و كتشوف فعايل شي وحدين كاتفهمو عارف راسو معامن,negative,dialectal
ماشي مشكل شفت الجواب وراه ماشي اول مرة ولكن المسامحة ماكاين باس ,positive,dialectal
صباح الخير سي الوزير اش وقع ليونس ,positive,dialectal
ماشي مشكل كيما كتبتيها هانيا ,positive,dialectal
نهارك مبروك ,positive,standard
ماكاتعرفش تنافق كولشي يولي عدوك,negative,dialectal
غير بالصحة,positive,dialectal
زمر تفو علاش ديما كايوقع ليا نفس الحاجة ,negative,dialectal
الحمد لله كانعديو سول فيك الخير,positive,dialectal
الله يكبر بيك ,positive,dialectal
الله يعمر لينا الدار ,positive,dialectal
الله يخليكم لبعض ,positive,dialectal
بالصحة و الراحة عقيد,positive,standard
 صباح الخير الله يحفظك,positive,standard
امين و ليك حتى نتا,positive,dialectal
 لا انا كايقلبوها سبان و معيار مباشر و غير مباشر و مستحيل نجاوب غير كاينزل النيڤو أنسحب,negative,dialectal
ماكنتش كانحمل هاد المصطلح لكن مؤخرا لقيت واحد الفئة مناسب ليها بزاف لي هي لي كاتجي تعنب عليك ف دي ام و الى ماتجاوبتيش كايقلبها ليك سبان و معيار ف تي ال,negative,dialectal
تماما ,positive,standard
ربي يخليك ف الصراحة على حسب الشخص لي قال هاد الكلمة السيئة الى كان عزيز و مايعني ليا شي حاجة كايبقا فيا الحال ضروري ولكن الى كان لا يعني شيئا كذلك كاتكون كلمتو,positive,dialectal
امين يا رب و حتى نتا ,positive,dialectal
ياك بعدا ,positive,dialectal
كلمة وحدة زوينة تقدر تبدل ليا نهاري كامل و يولي زوين واخا مافيه مايتشاف وحق الله ,positive,dialectal
باقي ماكملتش المجلة كاملة كانقرا بشوية بشوية قريت واعر بزاف و فهمت برافو في انتظار التتمة ف العدد المقبل,positive,dialectal
امين الله يحفظك,positive,standard
ربي يخليك,positive,dialectal
الله يكبر بيك ,positive,dialectal
طبعا لا توصي حريص ,positive,dialectal
مرحبا الله يسخر ,positive,dialectal
 الله يحفظك,positive,dialectal
امين يا ربي,positive,dialectal
الله يطول فعمرها,positive,dialectal
عويناتك لي زوينين ,positive,dialectal
عقت بيك ,positive,dialectal
الله يحفظك,positive,dialectal
امين الله يحفظك,positive,dialectal
امين ,positive,standard
حظا موفقا,positive,standard
فتي الفرض و وليتي ف النوافل ,positive,dialectal
سمحولينا يزين يامك ,positive,dialectal
ان شاء الله ,positive,standard
 صافي آمنا بالله,positive,dialectal
سبحان الله لقيتيني تاخدت نفس القرار ,positive,dialectal
الله يسمح ليك نتا تفول هاد الهدزة ,positive,dialectal
امين ربي يخليك,positive,dialectal
امين لهلا يخطيك,positive,dialectal
امين ميخسي ,positive,dialectal
المسامحة ا الخوت الموت هادشي بزاف على ,positive,dialectal
 لا لا صافي شكرا ,positive,dialectal
ربي يخليك شكرا ,positive,dialectal
الانسان كائن ضعيف غير الرواح كايقضي علينا ما بالك حاجة اخرى الله يرحمنا و صافي و الله يشافي المرضى يا رب ,positive,dialectal
الله يحفظك,positive,dialectal
سمحو لينا و صافي,positive,dialectal
صباح الورد فخيتة ,positive,dialectal
صباحكم مبروك زوينين ,positive,dialectal
تصبحون على ما تستحقون,positive,dialectal
و نعم المثال الصراحة ,positive,standard
 ديرو فينا خير وفهمونا,positive,dialectal
هاهي دعوة اخرى الله يهديك علينا من دوك التصاور,positive,dialectal
و لي كايهرب جبان ,negative,dialectal
 ميرسي ميرس اخجلتم تواضعي المتواضع ,positive,dialectal
 ماضحكيش هاداك راه سميتو الابداع ,positive,dialectal
قريبا ان شاء الله,positive,standard
 بالتوفيق,positive,standard
 برافو برافو مانخافش عليك,positive,dialectal
 وي عرفتك علاش كادوي بالي بيه قبل مايشد فيك الرواح و مايبقاش يطلقك,positive,dialectal
الله يعطيك ما تمنيتي ف خاطرك ,positive,dialectal
 الصدمة كانت قوية,negative,standard
يسمح لينا و صافي,positive,dialectal
 الله يكثر خيرهم,positive,dialectal
الله ياخد الحق,positive,dialectal
ماعرت واش نقول صباح الخير و لا تصبحو على خير,positive,dialectal
ا ختي خليهم يقولو لي بغاو حنا عارفين اش كاين ,positive,dialectal
